task_id,domain,world_id,status,agent_status,final_score,criteria_passed,criteria_total,steps_used,wall_time_seconds,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,agent_final_step_completion_tokens,agent_usage_available,agent_usage_source,agent_usage_consistent,agent_profile,agent_model,judge_model,trajectory_path,grades_path,dc_rs_enabled,dc_rs_bank_size_before,dc_rs_bank_size_after,dc_rs_retrieved_count,dc_rs_retrieved_bank_ids,dc_rs_appended_bank_id,synthesizer_prompt_tokens,synthesizer_completion_tokens,synthesizer_wall_seconds,synthesizer_cheatsheet_chars,synthesizer_used_fallback,synthesizer_wipe_rescued,trajectory_chars_appended
task_ad52b80191404ec2afc47fc1c29604b4,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,18,153.86,177719,1375,179094,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_ad52b80191404ec2afc47fc1c29604b4/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_ad52b80191404ec2afc47fc1c29604b4/grades.json,True,0,1,0,[],bank-00001,2900,1482,15.31,1860,False,False,24315
task_8985fd777093438eb1e1a51af2ca6142,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,29,438.05,779685,5100,784785,69,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_8985fd777093438eb1e1a51af2ca6142/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_8985fd777093438eb1e1a51af2ca6142/grades.json,True,1,2,1,"[""bank-00001""]",bank-00002,11467,4684,78.72,2661,False,False,64396
task_eb001a3a7d59493f8541aba607e3f255,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,2,45,355.09,781780,3080,784860,23,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_eb001a3a7d59493f8541aba607e3f255/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_eb001a3a7d59493f8541aba607e3f255/grades.json,True,2,3,2,"[""bank-00002"", ""bank-00001""]",bank-00003,35145,4893,71.22,4474,False,False,47246
task_34254f339d6e4f65b59bb2bd97e606e2,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,2,14,250.45,1360125,17071,1377196,105,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_34254f339d6e4f65b59bb2bd97e606e2/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_34254f339d6e4f65b59bb2bd97e606e2/grades.json,True,3,4,3,"[""bank-00002"", ""bank-00003"", ""bank-00001""]",bank-00004,51079,5013,49.18,5616,False,False,693543
task_9627f5be91db4334a3f3b5d9a2747460,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.2,1,5,28,271.74,663363,2665,666028,129,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_9627f5be91db4334a3f3b5d9a2747460/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_9627f5be91db4334a3f3b5d9a2747460/grades.json,True,5,6,3,"[""bank-00004"", ""bank-00002"", ""bank-00005""]",bank-00006,252795,3842,57.13,7265,False,False,64697
task_95a11015406f43a597c0b68c0b2e429a,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,25,155.82,440593,2104,442697,42,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_95a11015406f43a597c0b68c0b2e429a/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_95a11015406f43a597c0b68c0b2e429a/grades.json,True,6,7,3,"[""bank-00005"", ""bank-00001"", ""bank-00003""]",bank-00007,53629,3867,27.59,8102,False,False,39693
task_0de09be0daf242208f7a60ee83bf8717,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.4286,3,7,50,263.61,1384732,3943,1388675,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0de09be0daf242208f7a60ee83bf8717/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0de09be0daf242208f7a60ee83bf8717/grades.json,True,7,8,3,"[""bank-00005"", ""bank-00007"", ""bank-00003""]",bank-00008,59438,5058,36.87,9732,False,False,77723
task_6ed4c4d326c04e3c9ef66be237b8dcbe,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,30,192.19,699384,3185,702569,42,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_6ed4c4d326c04e3c9ef66be237b8dcbe/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_6ed4c4d326c04e3c9ef66be237b8dcbe/grades.json,True,8,9,3,"[""bank-00001"", ""bank-00008"", ""bank-00007""]",bank-00009,51170,4923,32.84,10571,False,False,61500
task_719041266bc54f8e951908414f467daf,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,4,23,213.63,495679,3364,499043,45,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_719041266bc54f8e951908414f467daf/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_719041266bc54f8e951908414f467daf/grades.json,True,9,10,3,"[""bank-00008"", ""bank-00003"", ""bank-00005""]",bank-00010,70564,4029,30.2,11594,False,False,45724
task_bb48b8b37be243d3801b667a0f75d574,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,1.0,2,2,20,1862.53,313501,2053,315554,46,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_bb48b8b37be243d3801b667a0f75d574/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_bb48b8b37be243d3801b667a0f75d574/grades.json,True,10,11,3,"[""bank-00010"", ""bank-00003"", ""bank-00001""]",bank-00011,43937,4098,22.77,13233,False,False,49031
task_583c24a9cc6d432c9159b6e4380fe428,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,2,33,226.15,634429,1796,636225,38,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_583c24a9cc6d432c9159b6e4380fe428/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_583c24a9cc6d432c9159b6e4380fe428/grades.json,True,11,12,3,"[""bank-00006"", ""bank-00002"", ""bank-00004""]",bank-00012,249227,4023,52.76,13233,False,False,46557
task_1da4eacde8434166b08bd64d9011095c,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,43,220.5,1070651,3157,1073808,27,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_1da4eacde8434166b08bd64d9011095c/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_1da4eacde8434166b08bd64d9011095c/grades.json,True,12,13,3,"[""bank-00009"", ""bank-00003"", ""bank-00010""]",bank-00013,56109,5978,38.47,14931,False,False,61786
task_de8a536c2c52446b98d0b9e2e8c43308,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,1.0,2,2,24,191.3,498747,3150,501897,31,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_de8a536c2c52446b98d0b9e2e8c43308/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_de8a536c2c52446b98d0b9e2e8c43308/grades.json,True,13,14,3,"[""bank-00011"", ""bank-00010"", ""bank-00003""]",bank-00014,51923,5303,59.48,14929,False,False,63212
task_761646f23fbb4a0b8564e4b348d14de1,Investment Banking,world_43a921f91f0f4d2c85d8bd2774f9e681,completed,completed,1.0,1,1,50,271.28,1207699,5114,1212813,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_761646f23fbb4a0b8564e4b348d14de1/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_761646f23fbb4a0b8564e4b348d14de1/grades.json,True,14,15,3,"[""bank-00014"", ""bank-00011"", ""bank-00008""]",bank-00015,67335,5412,38.6,16027,False,False,86728
task_0ffa0e6ff7d3433e98582e50e79068cd,Investment Banking,world_43a921f91f0f4d2c85d8bd2774f9e681,completed,completed,0.2,1,5,34,302.64,892667,4026,896693,31,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0ffa0e6ff7d3433e98582e50e79068cd/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0ffa0e6ff7d3433e98582e50e79068cd/grades.json,True,15,16,3,"[""bank-00006"", ""bank-00012"", ""bank-00004""]",bank-00016,241985,5017,63.51,16020,False,False,75130
task_91b0998a0b23403d9aeb1c10f75a22b1,Investment Banking,world_43a921f91f0f4d2c85d8bd2774f9e681,completed,completed,0.0,0,1,39,256.82,876203,2103,878306,47,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_91b0998a0b23403d9aeb1c10f75a22b1/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_91b0998a0b23403d9aeb1c10f75a22b1/grades.json,True,21,22,3,"[""bank-00018"", ""bank-00021"", ""bank-00014""]",bank-00022,74118,8747,57.6,23406,False,False,70939
task_83bed0e08f1b45efb40ad8a64deb6fd8,Investment Banking,world_43a921f91f0f4d2c85d8bd2774f9e681,completed,completed,0.0,0,1,42,247.49,1240784,1761,1242545,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_83bed0e08f1b45efb40ad8a64deb6fd8/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_83bed0e08f1b45efb40ad8a64deb6fd8/grades.json,True,22,23,3,"[""bank-00015"", ""bank-00014"", ""bank-00018""]",bank-00023,82734,7830,60.01,24612,False,False,85368
task_0233800d9daf4459bc464ce2f1f822a8,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,1.0,1,1,29,100.32,260353,1150,261503,20,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0233800d9daf4459bc464ce2f1f822a8/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0233800d9daf4459bc464ce2f1f822a8/grades.json,True,0,1,0,[],bank-00001,2959,886,5.6,216,False,False,52982
task_aac22560bcdc434eb7942bce0631d8bb,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,1.0,2,2,47,165.93,728862,3123,731985,126,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_aac22560bcdc434eb7942bce0631d8bb/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_aac22560bcdc434eb7942bce0631d8bb/grades.json,True,1,2,1,"[""bank-00001""]",bank-00002,28685,3634,26.01,5130,False,False,268821
task_d8d2c6bd61d548cba10f59af2d6c9559,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,0.25,2,8,29,233.91,613418,2233,615651,99,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_d8d2c6bd61d548cba10f59af2d6c9559/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_d8d2c6bd61d548cba10f59af2d6c9559/grades.json,True,2,3,2,"[""bank-00002"", ""bank-00001""]",bank-00003,181861,3873,53.92,6295,False,False,76668
task_0cc6381ab1db4902bdac1c95b3ffcc45,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,0.4444,4,9,35,222.54,530545,2543,533088,168,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0cc6381ab1db4902bdac1c95b3ffcc45/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0cc6381ab1db4902bdac1c95b3ffcc45/grades.json,True,3,4,3,"[""bank-00001"", ""bank-00003"", ""bank-00002""]",bank-00004,204704,2155,37.93,6295,False,False,45300
task_cb7189ae4502436085b4367bf7c64169,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,0.0,0,2,44,292.87,797662,2691,800353,66,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_cb7189ae4502436085b4367bf7c64169/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_cb7189ae4502436085b4367bf7c64169/grades.json,True,4,5,3,"[""bank-00003"", ""bank-00002"", ""bank-00004""]",bank-00005,192028,3867,54.51,7948,False,False,51995
task_4bdc188e9a7f4860b818c3cb3013e676,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,0.0,0,3,45,272.48,1115109,2097,1117206,39,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_4bdc188e9a7f4860b818c3cb3013e676/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_4bdc188e9a7f4860b818c3cb3013e676/grades.json,True,5,6,3,"[""bank-00001"", ""bank-00002"", ""bank-00005""]",bank-00006,195628,3210,55.64,7937,False,False,61725
